IKB (k=1);J48 (padrï¿½o NMO=2);Random Florest (NI=400);SMO (BRFKernel);PART (NMO = 2)
92,0591;92,8901;93,3518;93,2595;92,7978
78,9835;76,3736;76,5110;76,3736;74,5879
88,8333;91,3333;91,1667;91,1667;90,1667
74,1958;74,1259;73,9860;77,9720;73,4965
91,3690;91,2698;91,3690;91,2698;91,1706
93,1633;91,7347;91,8878;93,8776;91,8367
88,7989;88,9339;89,4737;89,3387;88,9339
84,1509;83,4648;83,4648;86,5180;83,5678
62,5706;58,3333;59,1808;88,7006;55,5085
85,8757;84,4633;84,0395;83,8983;84,0395
74,2727;60,8182;68,7273;71,5455;58,4545
80,0383;76,2117;76,2117;96,5561;69,8980
91,5254;90,6009;91,2173;90,9091;91,3713
79,8864;76,2500;77,8409;77,3864;77,9545
96,4394;96,3636;96,5152;96,8939;96,3636
93,5374;94,1134;94,1134;93,9154;92,2952
87,8947;85,4386;86,4912;86,8421;85,6140
94,9123;95,0877;94,3860;94,3860;95,0877
78,9773;80,3977;80,3977;90,5114;78,9773
79,0909;74,7727;74,6591;73,9773;74,8864
